Course code,Weighted Mean,Keywords
CY58005,39.11111111111111,"It is difficult to classify the course without more specific information about its content. However, based on the given input, it could potentially fall under the categories of Tech, Core, Software, Business, or Entrepreneurship, depending on the focus and objectives of the training and seminar."
EP60021,39.08296296296296,
AR32002,38.88888888888889,Core
AI61006,38.66666666666666,
AG47007,38.518888888888895,Core
AI60008,38.44444444444444,
PH21206,38.06666666666667,Core/Mathematics
EX28202,38.0,Environment
AT60205,38.0,
BT48017,37.98888888888889,Core
AR13302,37.90111111111111,Core
PH49001,37.86222222222222,"Core, Mathematics"
GG49007,37.77888888888889,Core
CH47024,37.77777777777778,Core
MT31017,37.74666666666666,Core
MA41002,37.72666666666667,Core
HS31072,37.66740740740741,"Business, Environment"
AR29201,37.54333333333334,Core
